Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""YaDoc Quick""","[""health-wellness""]","""Product Usage""",,,
"""Resova""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Agiled""","[""crm""]","""Product Usage""",,,
"""TidyHQ""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nudge Coach""","[""health-care"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zoom for Bridge Instructors""","[""eventmanagement""]","""Product Usage""",,,
"""Nabooki""","[""scheduling-calendar""]",,,,
"""Squadzip""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Compose""","[""productivity""]","""Product Usage""",,,
"""Evie""","[""human-resources""]",,,,
"""Perfect Recall""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""Giveffect""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""eSPACE Facility and Event Management""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CellarPass""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Transcribe""","[""transcription-translation""]","""Registration Information""","""Content""","""Product Usage""",
"""Elevatus""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Tucan.ai""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ClientManager""","[""crm""]","""Product Usage""",,,
"""Click4""","[""social-activities""]",,,,
"""envite""","[""productivity"",""scheduling-calendar"",""team-collaborations""]","""Product Usage""",,,
"""Hippo Video""","[""marketing""]","""Registration Information""","""Content""","""Product Usage""",
"""Dafoor""","[""education"",""learning-development"",""scheduling-calendar""]","""Product Usage""",,,
"""Coffee Roulette""","[""scheduling-calendar""]",,,,
"""Legios""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mitel Teamwork""","[""team-collaborations""]","""Content""","""Product Usage""",,
"""Medixcel Connect""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""planetRE Transact""","[""crm""]","""Registration Information""","""Content""","""Product Usage""",
"""10fold""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TeachSmart""","[""education"",""learning-development"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Peekaboox""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Jemi""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MakePlans""","[""scheduling-calendar""]","""Product Usage""",,,
"""Evex""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Epikwish""","[""scheduling-calendar""]",,,,
"""FlooopLife""","[""eventmanagement""]","""Product Usage""",,,
"""viltana7.com""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Patter""","[""productivity""]",,,,
"""PayMeet Pro""","[""productivity""]","""Product Usage""",,,
"""AppointmentCare""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ZMLink""","[""education"",""learning-development""]",,,,
"""Digitala protokoll""","[""team-collaborations""]","""Product Usage""",,,
"""Veloxity CRM""","[""crm""]","""Product Usage""",,,
"""Big Sofa Technologies""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Locoia""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Hotmart""","[""learning-development""]",,,,
"""Google Workspace""","[""team-collaborations""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""BrightHire""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Blackthorn Events""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Screenloop""","[""human-resources""]","""Registration Information""","""Content""","""Product Usage""",
"""Zoom Webinars & Meetings for PeopleGrove""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Status Hero""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Theta Lake for Zoom Phone""","[""content-and-compliance""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Motion""","[""productivity""]","""Product Usage""",,,
"""G2 Track""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zluri""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cronofy""","[""health-care"",""scheduling-calendar""]","""Product Usage""",,,
"""Splash Webinars""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LITEVIEW""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""WorkRamp""","[""learning-development""]","""Product Usage""",,,
"""Cron""","[""productivity""]","""Product Usage""",,,
"""Zoom for Kairos3""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CalendarHero""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bitrix24 Official Integration""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Recruitee""","[""human-resources""]","""Product Usage""",,,
"""SkyPrep LMS""","[""learning-development""]","""Content""","""Product Usage""",,
"""HotProfile""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""1 on 1 and Group Meeting Agendas by WorkPatterns""","[""human-resources"",""productivity"",""team-collaborations""]","""Product Usage""",,,
"""FreeBusy""","[""scheduling-calendar""]","""Product Usage""",,,
"""eM Client""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Classkick App for Zoom""","[""education"",""learning-development""]","""Product Usage""",,,
"""Catchup""","[""team-collaborations"",""team-collaborations""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""17hats""","[""crm""]","""Product Usage""",,,
"""JobScore""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SubOps""","[""analytics""]","""Registration Information""","""Content""","""Product Usage""",
"""Insightly Activity Connector""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Remote Browser - Web co-browsing""","[""team-collaborations""]","""Product Usage""",,,
"""CalendarHero - Account-Level""","[""scheduling-calendar""]","""Product Usage""",,,
"""Live2Coursera""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Team Drive for Zoom""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""CalendarBridge""","[""scheduling-calendar""]","""Product Usage""",,,
"""TimeZest""","[""customer-service""]","""Product Usage""",,,
"""Listener""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LindyLive""","[""education"",""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Classonlive""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Arrangr""","[""scheduling-calendar""]",,,,
"""SkillsInCloud""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""bookrun""","[""eventmanagement""]","""Product Usage""",,,
"""IB Live""","[""scheduling-calendar""]","""Product Usage""",,,
"""zarezerwuj.pl""","[""scheduling-calendar""]","""Product Usage""",,,
"""GoReact""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Epoch App""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Probooking""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Oxford Abstracts""","[""eventmanagement""]","""Product Usage""",,,
"""Better Clinics""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mayday""","[""productivity""]","""Product Usage""",,,
"""Xplan""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GENIAT-VIDEOCLASS""","[""education"",""learning-development""]",,,,
"""Vbrick Rev - North America""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MEETUS""","[""scheduling-calendar""]","""Product Usage""",,,
"""Robin""","[""scheduling-calendar""]","""Product Usage""",,,
"""MiiTel for Zoom""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Synappx Meeting""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""BookingHound""","[""scheduling-calendar""]","""Product Usage""",,,
"""Trial - Time Intelligence for Zoom""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Powow""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Yac Meet""","[""scheduling-calendar""]",,,,
"""walden-chat-client""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Smartway2 for Zoom""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Glasscubes""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Sparq Meetings""","[""team-collaborations""]",,,,
"""Blocksi Class meetings""","[""learning-development""]","""Product Usage""",,,
"""Relecture""","[""education"",""team-collaborations""]","""Product Usage""",,,
"""KalendarPro""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Taskeo""","[""scheduling-calendar""]","""Product Usage""",,,
"""SmartJen""","[""education"",""learning-development""]",,,,
"""Vidyard - Secure Video Hosting""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Edcord""","[""education"",""learning-development""]",,,,
"""Comtura""","[""productivity"",""recording-transcriptions"",""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Time Intelligence for Zoom""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""entrenar.se""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AttendanceKit for Schools""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""bver app""","[""analytics"",""learning-development"",""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Questroom Calendar""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Deepagent""","[""analytics""]","""Registration Information""","""Content""","""Product Usage""",
"""QBSkool""","[""learning-development""]","""Product Usage""",,,
"""Squiz Connect""","[""productivity""]","""Product Usage""",,,
"""Judicial Innovations""","[""recording-transcriptions""]","""Product Usage""",,,
"""Neighbeerly""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Lemonade""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""socionity builder""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Murmur""","[""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""iSAR""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""chicheck""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Atlas One Co-Pilot""","[""human-resources"",""productivity""]","""Registration Information""","""Content""","""Product Usage""",
"""TealOne Meetings""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ruzuku""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TheLegalAssistant""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Otter.ai Live Notes for Zoom""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Workato""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zapier""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""InterviewPlanner""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Searchie""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Teamplify""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Chili Piper""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Spivi Scheduler Connector""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Skilljar Customer Training Platform""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SnapHomework""","[""education"",""learning-development""]","""Product Usage""",,,
"""EVIGarten""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Memory""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Superhuman""","[""team-collaborations""]","""Product Usage""",,,
"""Street Academy""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ethena""","[""human-resources""]","""Content""","""Product Usage""",,
"""Breezy HR""","[""human-resources""]","""Product Usage""",,,
"""NextPatient""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""American Income Life""","[""sales-automation""]","""Product Usage""",,,
"""Phreesia""","[""health-care"",""health-wellness""]",,,,
"""Glia - Americas""","[""customer-service""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""amoCRM""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Hugo""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""Emergency Call Notifications""","[""content-and-compliance""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Telegram""","[""scheduling-calendar""]","""Product Usage""",,,
"""Okta Preview Workflows""","[""content-and-compliance""]","""Product Usage""",,,
"""OfferingTree""","[""eventmanagement""]","""Product Usage""",,,
"""3Play Media""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""JazzHR""","[""scheduling-calendar""]","""Product Usage""",,,
"""Classting""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""amptalk""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Swit""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Voyce""","[""health-care"",""transcription-translation""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Zoho Backstage""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LIVEKLASS""","[""education"",""learning-development""]","""Product Usage""",,,
"""OneStream Live""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Opsgenie EU""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Actionable Meetings by Wrike""","[""health-care"",""productivity"",""recording-transcriptions"",""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""Groundhogg""","[""crm"",""scheduling-calendar""]","""Content""","""Product Usage""",,
"""Simply Schedule Appointments""","[""marketing"",""productivity"",""scheduling-calendar""]","""Product Usage""",,,
"""Reportcard""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TimeKit""","[""scheduling-calendar""]","""Product Usage""",,,
"""Utobo""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""MemberLeap""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""NonProfitEasy""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nomad Gate Webinars""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Polymail""","[""productivity""]","""Product Usage""",,,
"""WhatTIme""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Docket - Zoom Calendar Management""","[""productivity""]",,,,
"""Clipwise""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""NFT / Token Gated Access by Lit Protocol""","[""productivity""]","""Product Usage""",,,
"""Yobi""","[""customer-service"",""social-activities"",""team-collaborations""]","""Product Usage""",,,
"""Filo""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Librato Notifications""","[""analytics""]","""Content""","""Product Usage""",,
"""Drift Video""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Beekast""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CalendarHero Webinar""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""RapidFunnel""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""EasyCalendar""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""eM Client for Microsoft Store""","[""productivity""]","""Product Usage""",,,
"""SureWillWriter""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""PanelSheet for Zoom""","[""scheduling-calendar""]","""Product Usage""",,,
"""Boostlingo Account""","[""health-care"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Game Plan App""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SmartChousei""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MISA EMIS eLearning""","[""customer-service"",""education""]",,,,
"""viCalendar""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Booka""","[""scheduling-calendar""]","""Product Usage""",,,
"""eClass John Robert Powers""","[""health-care"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zonka Feedback""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Redink""","[""learning-development""]",,,,
"""Papillon""","[""education"",""learning-development""]","""Product Usage""",,,
"""Savetime""","[""team-collaborations""]","""Product Usage""",,,
"""JustClick.Ru""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MIMIRX""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Qmeet""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AEP""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Magnolia""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Careerz Education and Management""","[""education"",""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vivoh Multicast App""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""bulbulbuy""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Alto Fitness""","[""health-care"",""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CalendarAnything Integration""","[""crm""]","""Product Usage""",,,
"""Edlantic""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Codimite Archiver for Zoom Phone""","[""content-and-compliance""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Bldschool""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nectar 10 - EU""","[""analytics"",""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Conference instaApp for Zoom""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Sensei matching""","[""education"",""learning-development""]","""Product Usage""",,,
"""Humanly""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""TheIncubatorPro""","[""productivity""]","""Product Usage""",,,
"""Eventize""","[""education"",""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""bookee""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Adaptive Shield""","[""content-and-compliance""]","""Registration Information""","""Content""","""Product Usage""",
"""Fantastical for Mac""","[""productivity""]","""Product Usage""",,,
"""Microsoft Teams""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Marketo""","[""marketing""]","""Registration Information""","""Content""","""Product Usage""",
"""Colibri""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LangLion""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Schoolrunner""","[""analytics"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""waaq Link""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pipedream""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Coda""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""BINGO! for Zoom""","[""education"",""games""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Rewatch""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Appointlet""","[""scheduling-calendar""]","""Product Usage""",,,
"""APIANT""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Smarsh for Phone""","[""content-and-compliance""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Nifty""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CORE""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SurveyMonkey""","[""productivity"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TalentLMS""","[""learning-development""]","""Product Usage""",,,
"""Paradox Olivia""","[""scheduling-calendar""]",,,,
"""Qudini""","[""scheduling-calendar""]","""Product Usage""",,,
"""Tixoom ticketing - an alternative to Eventbrite""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""eeasy for Administrators""","[""scheduling-calendar""]","""Product Usage""",,,
"""Clinikpro""","[""crm"",""health-care""]",,,,
"""Lawmatics""","[""crm""]",,,,
"""Activity Messenger""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Product Usage""",
"""Cal.com""","[""scheduling-calendar""]",,,,
"""ClassBug""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Wooclap""","[""education"",""team-collaborations""]","""Content""","""Product Usage""",,
"""Brightcove Live Connect""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""PandaDoc""","[""productivity"",""sales-automation"",""team-collaborations""]",,,,
"""Virtually""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""EZLEARN""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Opsgenie""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Coaching Loft""","[""learning-development""]","""Product Usage""",,,
"""Reduct.Video""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Ease Attendance""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OneFitStop""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Agendalo""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Calenso""","[""scheduling-calendar""]","""Product Usage""",,,
"""ShareStream""","[""education"",""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Doculife - Life, organized.""","[""productivity"",""social-activities"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VitalLink""","[""team-collaborations""]","""Product Usage""",,,
"""Approved Contact""","[""scheduling-calendar""]",,,,
"""Debrief for Zoom""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Unique App""","[""education"",""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""PixelMixer Link""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Ocelot""","[""customer-service"",""education""]","""Product Usage""",,,
"""ScheduleHouse""","[""scheduling-calendar""]","""Product Usage""",,,
"""Indifit.co""","[""learning-development"",""social-activities""]","""Registration Information""","""Content""","""Product Usage""",
"""Macmillan Education""","[""education"",""learning-development""]","""Product Usage""",,,
"""Snackable AI""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Outreach Kaia for Zoom Admins""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SPRNG Scheduling""","[""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Transloadit""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Startdeliver""","[""customer-service""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""WealthBlock Offering Meetings""","[""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Modern Hire - UAT""","[""human-resources""]","""Product Usage""",,,
"""MATE Integration""","[""marketing""]","""Product Usage""",,,
"""Member Integrity System""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""silverdo""","[""scheduling-calendar""]",,,,
