Column 1 1 2 1,CATEGORY,Column 1 2 1 2 1,Column 1 2 1 3 1,Column 1 2 1 4 1
"""LindyLive""","[""education"",""eventmanagement""]","""Profile & Contact Information""","""Settings""",
"""Classonlive""","[""education"",""learning-development""]",,,
"""Arrangr""","[""scheduling-calendar""]",,,
"""SkillsInCloud""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""bookrun""","[""eventmanagement""]",,,
"""IB Live""","[""scheduling-calendar""]",,,
"""zarezerwuj.pl""","[""scheduling-calendar""]",,,
"""GoReact""","[""recording-transcriptions""]",,,
"""Epoch App""","[""eventmanagement""]",,,
"""Probooking""","[""education"",""scheduling-calendar""]",,,
"""Oxford Abstracts""","[""eventmanagement""]","""Profile & Contact Information""","""Settings""",
"""Better Clinics""","[""health-wellness""]",,,
"""Mayday""","[""productivity""]",,,
"""Xplan""","[""crm""]",,,
"""GENIAT-VIDEOCLASS""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Vbrick Rev - North America""","[""team-collaborations""]",,,
"""MEETUS""","[""scheduling-calendar""]",,,
"""Robin""","[""scheduling-calendar""]",,,
"""MiiTel for Zoom""","[""sales-automation""]",,,
"""Synappx Meeting""","[""productivity""]",,,
"""BookingHound""","[""scheduling-calendar""]",,,
"""Trial - Time Intelligence for Zoom""","[""productivity""]",,,
"""Powow""","[""productivity""]",,,
"""Yac Meet""","[""scheduling-calendar""]",,,
"""walden-chat-client""","[""team-collaborations""]",,,
"""Smartway2 for Zoom""","[""scheduling-calendar""]",,,
"""Glasscubes""","[""team-collaborations""]",,,
"""Sparq Meetings""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Blocksi Class meetings""","[""learning-development""]",,,
"""Relecture""","[""education"",""team-collaborations""]",,,
"""KalendarPro""","[""scheduling-calendar""]",,,
"""Taskeo""","[""scheduling-calendar""]",,,
"""SmartJen""","[""education"",""learning-development""]",,,
"""Vidyard - Secure Video Hosting""","[""recording-transcriptions""]",,,
"""Edcord""","[""education"",""learning-development""]",,,
"""Comtura""","[""productivity"",""recording-transcriptions"",""sales-automation""]",,,
"""Time Intelligence for Zoom""","[""productivity""]",,,
"""entrenar.se""","[""learning-development""]",,,
"""AttendanceKit for Schools""","[""education"",""learning-development""]",,,
"""bver app""","[""analytics"",""learning-development"",""productivity""]",,,
"""Questroom Calendar""","[""scheduling-calendar""]",,,
"""Deepagent""","[""analytics""]",,,
"""QBSkool""","[""learning-development""]",,,
"""Squiz Connect""","[""productivity""]",,,
"""Judicial Innovations""","[""recording-transcriptions""]",,,
"""Neighbeerly""","[""sales-automation""]",,,
"""Lemonade""","[""team-collaborations""]",,,
"""socionity builder""","[""education"",""team-collaborations""]",,,
"""Murmur""","[""social-activities""]",,,
"""iSAR""","[""human-resources""]",,,
"""chicheck""","[""health-wellness""]",,,
"""Atlas One Co-Pilot""","[""human-resources"",""productivity""]",,,
"""TealOne Meetings""","[""productivity""]","""Account Information""",,
"""Ruzuku""","[""learning-development""]",,,
"""TheLegalAssistant""","[""productivity""]",,,
"""Otter.ai Live Notes for Zoom""","[""transcription-translation""]",,,
"""Workato""","[""productivity""]","""Profile & Contact Information""","""Settings""",
"""Zapier""","[""productivity""]",,,
"""InterviewPlanner""","[""scheduling-calendar""]",,,
"""Searchie""","[""recording-transcriptions""]",,,
"""Teamplify""","[""analytics""]","""Profile & Contact Information""","""Settings""",
"""Chili Piper""","[""productivity""]",,,
"""Spivi Scheduler Connector""","[""eventmanagement""]",,,
"""Skilljar Customer Training Platform""","[""learning-development""]",,,
"""SnapHomework""","[""education"",""learning-development""]",,,
"""EVIGarten""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Memory""","[""productivity""]",,,
"""Superhuman""","[""team-collaborations""]",,,
"""Street Academy""","[""education"",""learning-development""]",,,
"""Ethena""","[""human-resources""]",,,
"""Breezy HR""","[""human-resources""]",,,
"""NextPatient""","[""health-care"",""health-wellness""]",,,
"""American Income Life""","[""sales-automation""]",,,
"""Phreesia""","[""health-care"",""health-wellness""]",,,
"""Glia - Americas""","[""customer-service""]",,,
"""amoCRM""","[""crm""]",,,
"""Hugo""","[""team-collaborations""]",,,
"""Emergency Call Notifications""","[""content-and-compliance""]","""Settings""",,
"""Telegram""","[""scheduling-calendar""]",,,
"""Okta Preview Workflows""","[""content-and-compliance""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""OfferingTree""","[""eventmanagement""]",,,
"""3Play Media""","[""transcription-translation""]",,,
"""JazzHR""","[""scheduling-calendar""]",,,
"""Classting""","[""education"",""learning-development""]",,,
"""amptalk""","[""sales-automation""]",,,
"""Swit""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Voyce""","[""health-care"",""transcription-translation""]","""Profile & Contact Information""","""Settings""",
"""Zoho Backstage""","[""eventmanagement""]",,,
"""LIVEKLASS""","[""education"",""learning-development""]",,,
"""OneStream Live""","[""recording-transcriptions""]",,,
"""Opsgenie EU""","[""analytics""]",,,
"""Actionable Meetings by Wrike""","[""health-care"",""productivity"",""recording-transcriptions"",""team-collaborations""]",,,
"""Groundhogg""","[""crm"",""scheduling-calendar""]",,,
"""Simply Schedule Appointments""","[""marketing"",""productivity"",""scheduling-calendar""]",,,
"""Reportcard""","[""education"",""learning-development""]",,,
"""TimeKit""","[""scheduling-calendar""]",,,
"""Utobo""","[""education"",""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""MemberLeap""","[""team-collaborations""]",,,
"""NonProfitEasy""","[""eventmanagement""]",,,
"""Nomad Gate Webinars""","[""eventmanagement""]",,,
"""Polymail""","[""productivity""]",,,
"""WhatTIme""","[""eventmanagement""]",,,
"""Docket - Zoom Calendar Management""","[""productivity""]",,,
"""Clipwise""","[""recording-transcriptions""]","""Profile & Contact Information""","""Settings""",
"""NFT / Token Gated Access by Lit Protocol""","[""productivity""]",,,
"""Yobi""","[""customer-service"",""social-activities"",""team-collaborations""]",,,
"""Filo""","[""team-collaborations""]",,,
"""Librato Notifications""","[""analytics""]",,,
"""Drift Video""","[""recording-transcriptions""]",,,
"""Beekast""","[""team-collaborations""]",,,
"""CalendarHero Webinar""","[""scheduling-calendar""]",,,
"""RapidFunnel""","[""productivity""]",,,
"""EasyCalendar""","[""scheduling-calendar""]",,,
"""eM Client for Microsoft Store""","[""productivity""]",,,
"""SureWillWriter""","[""crm""]",,,
"""PanelSheet for Zoom""","[""scheduling-calendar""]",,,
"""Boostlingo Account""","[""health-care"",""team-collaborations""]",,,
"""Game Plan App""","[""learning-development""]",,,
"""SmartChousei""","[""team-collaborations""]",,,
"""MISA EMIS eLearning""","[""customer-service"",""education""]",,,
"""viCalendar""","[""scheduling-calendar""]",,,
"""Booka""","[""scheduling-calendar""]",,,
"""eClass John Robert Powers""","[""health-care"",""learning-development""]",,,
"""Zonka Feedback""","[""productivity""]",,,
"""Redink""","[""learning-development""]",,,
"""Papillon""","[""education"",""learning-development""]",,,
"""Savetime""","[""team-collaborations""]",,,
"""JustClick.Ru""","[""crm""]",,,
"""MIMIRX""","[""health-care"",""health-wellness""]",,,
"""Qmeet""","[""team-collaborations""]",,,
"""AEP""","[""learning-development""]",,,
"""Magnolia""","[""productivity""]",,,
"""Careerz Education and Management""","[""education"",""eventmanagement""]",,,
"""Vivoh Multicast App""","[""productivity""]",,,
"""bulbulbuy""","[""scheduling-calendar""]",,,
"""Alto Fitness""","[""health-care"",""social-activities""]",,,
"""CalendarAnything Integration""","[""crm""]",,,
"""Edlantic""","[""education"",""learning-development""]",,,
"""Codimite Archiver for Zoom Phone""","[""content-and-compliance""]",,,
"""Bldschool""","[""eventmanagement""]",,,
"""Nectar 10 - EU""","[""analytics"",""content-and-compliance""]",,,
"""Conference instaApp for Zoom""","[""eventmanagement""]",,,
"""Sensei matching""","[""education"",""learning-development""]",,,
"""Humanly""","[""education"",""learning-development""]",,,
"""TheIncubatorPro""","[""productivity""]",,,
"""Eventize""","[""education"",""eventmanagement""]",,,
"""bookee""","[""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""Adaptive Shield""","[""content-and-compliance""]","""Account Information""",,
"""Fantastical for Mac""","[""productivity""]",,,
"""Microsoft Teams""","[""team-collaborations""]","""Settings""",,
"""Marketo""","[""marketing""]",,,
"""Colibri""","[""transcription-translation""]",,,
"""LangLion""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Schoolrunner""","[""analytics"",""education""]",,,
"""waaq Link""","[""scheduling-calendar""]",,,
"""Pipedream""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Coda""","[""team-collaborations""]",,,
"""BINGO! for Zoom""","[""education"",""games""]",,,
"""Rewatch""","[""recording-transcriptions""]","""Account Information""",,
"""Appointlet""","[""scheduling-calendar""]",,,
"""APIANT""","[""productivity""]","""Profile & Contact Information""","""Settings""",
"""Smarsh for Phone""","[""content-and-compliance""]",,,
"""Nifty""","[""team-collaborations""]",,,
"""CORE""","[""learning-development""]",,,
"""SurveyMonkey""","[""productivity"",""team-collaborations""]",,,
"""TalentLMS""","[""learning-development""]",,,
"""Paradox Olivia""","[""scheduling-calendar""]",,,
"""Qudini""","[""scheduling-calendar""]",,,
"""Tixoom ticketing - an alternative to Eventbrite""","[""eventmanagement""]",,,
"""eeasy for Administrators""","[""scheduling-calendar""]",,,
"""Clinikpro""","[""crm"",""health-care""]",,,
"""Lawmatics""","[""crm""]",,,
"""Activity Messenger""","[""scheduling-calendar""]",,,
"""Cal.com""","[""scheduling-calendar""]",,,
"""ClassBug""","[""education"",""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""Wooclap""","[""education"",""team-collaborations""]",,,
"""Brightcove Live Connect""","[""marketing""]","""Account Information""",,
"""PandaDoc""","[""productivity"",""sales-automation"",""team-collaborations""]",,,
"""Virtually""","[""education"",""learning-development""]",,,
"""EZLEARN""","[""education"",""learning-development""]",,,
"""Opsgenie""","[""analytics""]",,,
"""Coaching Loft""","[""learning-development""]",,,
"""Reduct.Video""","[""recording-transcriptions""]",,,
"""Ease Attendance""","[""education"",""learning-development""]",,,
"""OneFitStop""","[""eventmanagement""]",,,
"""Agendalo""","[""scheduling-calendar""]",,,
"""Calenso""","[""scheduling-calendar""]",,,
"""ShareStream""","[""education"",""recording-transcriptions""]",,,
"""Doculife - Life, organized.""","[""productivity"",""social-activities"",""team-collaborations""]",,,
"""VitalLink""","[""team-collaborations""]",,,
"""Approved Contact""","[""scheduling-calendar""]",,,
"""Debrief for Zoom""","[""recording-transcriptions""]",,,
"""Unique App""","[""education"",""sales-automation""]","""Profile & Contact Information""","""Settings""",
"""PixelMixer Link""","[""recording-transcriptions""]",,,
"""Ocelot""","[""customer-service"",""education""]",,,
"""ScheduleHouse""","[""scheduling-calendar""]",,,
"""Indifit.co""","[""learning-development"",""social-activities""]",,,
"""Macmillan Education""","[""education"",""learning-development""]",,,
"""Snackable AI""","[""recording-transcriptions""]",,,
"""Outreach Kaia for Zoom Admins""","[""sales-automation""]",,,
"""SPRNG Scheduling""","[""social-activities""]",,,
"""Transloadit""","[""recording-transcriptions""]",,,
"""Startdeliver""","[""customer-service""]",,,
"""WealthBlock Offering Meetings""","[""eCommerce""]",,,
"""Modern Hire - UAT""","[""human-resources""]",,,
"""MATE Integration""","[""marketing""]",,,
"""Member Integrity System""","[""eventmanagement""]","""Profile & Contact Information""","""Settings""",
"""silverdo""","[""scheduling-calendar""]",,,
"""Smarsh for Chat""","[""content-and-compliance""]",,,
"""Makesweat.com""","[""eventmanagement""]",,,
"""Gameroom""","[""social-activities""]",,,
"""Video meeting for Qboxmail""","[""scheduling-calendar""]",,,
"""Vectorly""","[""education"",""learning-development""]",,,
"""ClassworxScheduler""","[""learning-development""]",,,
"""SSO for Vtiger""","[""crm""]",,,
"""CalendarHero Webinar - Account-Level""","[""scheduling-calendar""]",,,
"""TORSH Talent HS""","[""health-care"",""learning-development""]",,,
"""anny""","[""scheduling-calendar""]",,,
"""ClassFolios""","[""education"",""learning-development""]",,,
"""Scales""","[""human-resources""]",,,
"""Rehab Guru""","[""health-wellness""]",,,
"""Chatwork""","[""team-collaborations""]",,,
"""Clevermessenger""","[""productivity""]",,,
"""Classpro.io""","[""education"",""learning-development""]",,,
"""Pentugram""","[""eCommerce""]",,,
"""Tribute""","[""scheduling-calendar""]",,,
"""Exeest""","[""sales-automation""]",,,
"""Lex Analytics""","[""analytics""]",,,
"""Signilo for Zoom""","[""scheduling-calendar""]",,,
"""MeetLock Guru""","[""education"",""learning-development""]",,,
"""Innform""","[""education"",""learning-development""]",,,
"""MySciHub""","[""eventmanagement""]",,,
"""Natrapharm FCPE""","[""health-care"",""health-wellness""]",,,
"""Breeio""","[""learning-development""]",,,
"""Ziotag""","[""recording-transcriptions""]","""Profile & Contact Information""","""Settings""",
"""Transferring-videos.com""","[""scheduling-calendar""]",,,
"""Apptio Cloudability SaaS - AU""","[""analytics""]",,,
"""Zero Gravity""","[""learning-development""]",,,
"""Join It Membership""","[""crm""]",,,
"""Zylo""","[""analytics""]","""Profile & Contact Information""","""Settings""",
"""Peoplelogic.ai""","[""analytics""]",,,
"""Theta Lake eComms Archive""","[""content-and-compliance"",""eCommerce""]",,,
"""PowerSuite by Unify Square""","[""analytics""]",,,
"""NGP VAN + EveryAction Meetings""","[""crm""]",,,
"""Zendesk Notifications by Zoom""","[""customer-service""]",,,
"""Chorus For Zoom Phone""","[""sales-automation""]",,,
"""Pattyrn""","[""human-resources"",""productivity""]",,,
"""Fuse Classroom""","[""education"",""learning-development""]",,,
"""Myna""","[""productivity""]",,,
"""iSpring Learn""","[""learning-development""]",,,
"""Spir""","[""scheduling-calendar""]",,,
"""CLOVA Note""","[""education"",""transcription-translation""]",,,
"""Luma Beautiful Event Pages""","[""marketing""]",,,
"""Setmore Appointments""","[""scheduling-calendar""]",,,
"""Chatwork for Users""","[""team-collaborations""]",,,
"""Lucidspark Whiteboard""","[""team-collaborations""]",,,
"""Dont Interrupt""","[""productivity""]",,,
"""Flycrew""","[""health-care"",""social-activities""]",,,
"""Hyperia""","[""transcription-translation""]",,,
"""The Expert""","[""scheduling-calendar""]",,,
"""Cafetalk""","[""learning-development""]",,,
"""Kundalik.Online dars""","[""education"",""learning-development""]",,,
"""WHOS-NEXT.COM""","[""customer-service"",""education""]","""Profile & Contact Information""","""Settings""",
"""EventRebels""","[""eventmanagement""]",,,
"""zcal""","[""scheduling-calendar""]",,,
"""Nexudus for Administrators""","[""scheduling-calendar""]",,,
"""Gong App for Zoom""","[""sales-automation""]",,,
"""Access LMS Virtual Events""","[""learning-development""]",,,
"""Cogsworth""","[""scheduling-calendar""]",,,
"""IdealTraits""","[""human-resources""]",,,
"""Talentio""","[""scheduling-calendar""]",,,
"""Circles""","[""productivity""]",,,
"""Happy Scribe""","[""transcription-translation""]",,,
"""WhosThere""","[""analytics""]",,,
"""Clipchamp""","[""recording-transcriptions""]",,,
"""Secret Santa""","[""team-collaborations""]",,,
"""Pocket Therapist""","[""health-wellness""]",,,
"""Clockwise""","[""scheduling-calendar""]",,,
"""Jellyzone Telehealth""","[""health-care"",""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""Northpass""","[""learning-development""]",,,
"""Seminal""","[""education"",""learning-development""]",,,
"""Procore""","[""team-collaborations""]",,,
"""Animaker""","[""marketing""]",,,
"""Engaging Networks - Toronto""","[""crm""]",,,
"""Belqlam""","[""education"",""learning-development""]",,,
"""Affinity for Zoom""","[""crm""]",,,
"""Atlas Governance""","[""productivity""]",,,
"""Workvivo""","[""human-resources""]",,,
"""MeLL+ professional""","[""health-care"",""team-collaborations""]",,,
"""Docket - Zoom Meeting Transcripts and Recording""","[""transcription-translation""]",,,
"""2meetup""","[""eventmanagement""]",,,
"""Calendr for Zoom""","[""scheduling-calendar""]",,,
"""Element451 Admin""","[""crm"",""education""]",,,
"""Wellness That Works by WW""","[""health-care"",""social-activities""]",,,
"""Zoom for Kairos3 Timing""","[""sales-automation""]",,,
"""Medallia LivingLens""","[""recording-transcriptions""]",,,
"""Engly""","[""learning-development""]",,,
"""Monosnap""","[""productivity""]",,,
"""Clinivid Meeting""","[""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""Qatalog""","[""team-collaborations""]",,,
"""Cincopa""","[""recording-transcriptions""]",,,
"""Wizlearn LMS""","[""education"",""learning-development""]",,,
"""CRMHere Zoom Integration""","[""crm""]",,,
"""CommandDot""","[""productivity""]",,,
"""shift-live""","[""eventmanagement""]",,,
"""Visla""","[""recording-transcriptions""]",,,
"""Infusionsoft""","[""marketing""]",,,
"""Scoir Office Hours""","[""education"",""scheduling-calendar""]",,,
"""Martindale-Avvo True Scheduler""","[""scheduling-calendar""]",,,
"""CanopyLAB""","[""education"",""learning-development""]",,,
"""Jamf Teacher""","[""education"",""learning-development""]",,,
"""OrthoFX Video Visit""","[""health-care"",""team-collaborations""]",,,
"""Innovation Valley""","[""education"",""learning-development""]",,,
"""SlidesUp Event Planning""","[""team-collaborations""]",,,
"""Hiintern""","[""human-resources""]",,,
"""finexis Integration""","[""scheduling-calendar""]",,,
"""Pigeon""","[""scheduling-calendar""]",,,
"""CLASSUM""","[""learning-development""]",,,
"""Koya""","[""education"",""learning-development""]",,,
"""Cognitive View""","[""content-and-compliance""]",,,
"""Adobe Xd moments""","[""recording-transcriptions""]",,,
"""Appspace""","[""recording-transcriptions""]",,,
"""FEjobs""","[""education"",""scheduling-calendar""]",,,
"""DMI-Talk""","[""team-collaborations""]",,,
"""GoSchedule""","[""scheduling-calendar""]",,,
"""Morphx""","[""customer-service""]",,,
"""RKAnywhere""","[""health-care"",""health-wellness""]",,,
"""Blibiba Office""","[""team-collaborations""]",,,
"""Abiliti""","[""productivity""]",,,
"""Mobiles Festnetz""","[""team-collaborations""]",,,
"""TagAlong""","[""eventmanagement""]",,,
"""Incoming Webhook""","[""productivity""]",,,
"""ezyVet Telemedicine""","[""health-wellness""]",,,
"""BetterCloud""","[""content-and-compliance""]","""Profile & Contact Information""","""Account Information""","""Settings"""
"""Theta Lake for Zoom""","[""content-and-compliance""]",,,
"""PracticeNow!""","[""education"",""scheduling-calendar""]",,,
"""MoveGB""","[""eventmanagement""]",,,
"""Netskope""","[""content-and-compliance""]",,,
"""Dropbox Spaces""","[""team-collaborations""]",,,
"""qube""","[""team-collaborations""]",,,
"""Quuly""","[""education"",""learning-development""]",,,
"""e-Stela""","[""education"",""learning-development""]",,,
"""Front""","[""team-collaborations""]",,,
"""Integrately""","[""productivity""]",,,
"""Prezi Video""","[""education"",""team-collaborations""]","""Devices""","""Settings""",
"""Sentry Notifications""","[""analytics""]",,,
"""SharpSpring""","[""scheduling-calendar""]",,,
"""Jira Server Notifications""","[""productivity""]",,,
"""Digital Nepal""","[""customer-service"",""education""]",,,
"""Licencia Conducir Honduras""","[""customer-service""]","""Profile & Contact Information""","""Settings""",
"""Prelude - Formerly Interview Schedule - User App""","[""human-resources""]",,,
"""e-Skool""","[""education"",""learning-development""]",,,
"""VerticalChange""","[""health-care"",""health-wellness""]",,,
"""Productiv for Zoom Phone""","[""analytics""]","""Settings""",,
"""Bookeo""","[""scheduling-calendar""]",,,
"""Bonjour, View and Update Salesforce""","[""sales-automation""]",,,
"""Box app for Zoom""","[""team-collaborations""]",,,
"""MeePet""","[""productivity""]","""Profile & Contact Information""","""Settings""",
"""Smartsheet Notifications""","[""team-collaborations""]",,,
"""Harmonizely""","[""scheduling-calendar""]",,,
"""Legacy Prezi Video Connector""","[""productivity""]",,,
"""Delenta""","[""health-care"",""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""AceUp""","[""learning-development""]",,,
"""Workona - Project collaboration""","[""team-collaborations""]",,,
"""Vimeo Notifications""","[""productivity""]",,,
"""Jeenie Interpreting""","[""team-collaborations"",""team-collaborations""]",,,
"""LawConnect for Zoom""","[""scheduling-calendar""]",,,
"""Decision Time""","[""team-collaborations""]",,,
"""TM3""","[""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""Book2day""","[""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""Calendesk - Online Booking System""","[""scheduling-calendar""]",,,
"""Coconut Software""","[""scheduling-calendar""]",,,
"""Schoox Personal Integration Zoom Webinar""","[""productivity""]",,,
"""Doctocliq""","[""health-wellness""]",,,
"""Connector for SAP SuccessFactors""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""adam.ai""","[""productivity""]",,,
"""Novocall for Admin""","[""scheduling-calendar""]",,,
"""Zelt""","[""human-resources""]","""Profile & Contact Information""","""Settings""",
"""Getware""","[""transcription-translation""]",,,
"""Collabee Messenger""","[""team-collaborations""]",,,
"""Sunslower Yoga live session""","[""health-care"",""social-activities""]",,,
"""Dialpad""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""PTC Wizard""","[""education"",""scheduling-calendar""]",,,
"""Jump It Now""","[""social-activities""]",,,
"""Capture Session Edition""","[""marketing""]",,,
"""ChipBrain""","[""crm""]","""Profile & Contact Information""","""Settings""",
"""DS Medica""","[""health-wellness""]",,,
"""Bloom""","[""eventmanagement""]",,,
"""zoconut""","[""health-care"",""health-wellness""]","""Profile & Contact Information""","""Settings""",
"""Dayslice""","[""scheduling-calendar""]",,,
"""Carrot quest""","[""customer-service""]",,,
"""SlidesClicker - Internet Clicker""","[""productivity""]",,,
"""Outreach Kaia""","[""sales-automation""]",,,
"""Interview Scheduler""","[""eventmanagement""]",,,
"""Instahyre""","[""human-resources""]",,,
"""PoinCampus""","[""learning-development""]",,,
"""DaouOffice""","[""team-collaborations""]",,,
"""Bookifi""","[""health-care"",""health-wellness""]",,,
"""HarmonizeEngage""","[""education"",""learning-development""]",,,
"""ZIGLY""","[""productivity""]",,,
"""Remune""","[""eCommerce""]","""Profile & Contact Information""","""Settings""",
"""Dailyplanner""","[""scheduling-calendar""]",,,
"""Vursity""","[""education"",""learning-development""]",,,
"""VinenEdu""","[""learning-development""]",,,
"""Everyones Teacher""","[""learning-development""]",,,
"""MBB 101""","[""learning-development""]",,,
"""AI Calendar""","[""scheduling-calendar""]",,,
"""Public Health Institute Events""","[""eventmanagement""]",,,
"""YoPay Service""","[""productivity""]",,,
"""MyClassAdmin""","[""education"",""learning-development""]",,,
"""Educal""","[""education"",""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""MoveMe""","[""scheduling-calendar""]",,,
"""ngDesk""","[""customer-service""]",,,
"""IMSTRONG""","[""health-care"",""social-activities""]",,,
"""Science Media""","[""learning-development""]",,,
"""Smoothly Stg""","[""scheduling-calendar""]",,,
"""CourseOS""","[""education"",""learning-development""]",,,
"""myVax""","[""health-care"",""health-wellness""]",,,
"""Nesso Community""","[""team-collaborations""]",,,
"""Circa""","[""eventmanagement""]",,,
"""eXpertly""","[""marketing""]",,,
"""WeZum""","[""learning-development""]",,,
"""Muze Music""","[""social-activities""]",,,
"""Obsidian Security""","[""content-and-compliance""]",,,
"""Equeo Paid Account""","[""learning-development""]",,,
"""VMware Edge Network Intelligence""","[""analytics""]",,,
"""BusyCal""","[""productivity""]",,,
"""Simplero""","[""marketing""]",,,
"""ScheduleOnce""","[""scheduling-calendar""]",,,
"""IntakeQ""","[""health-care"",""health-wellness""]",,,
"""Meetgeek AI""","[""transcription-translation""]","""Profile & Contact Information""","""Settings""",
"""Coubic""","[""scheduling-calendar""]",,,
"""Eventbrite""","[""eventmanagement""]",,,
"""AEvent""","[""sales-automation""]",,,
"""Gitlab""","[""productivity""]",,,
"""Class for Administrators""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""INSIDE Your Business""","[""productivity""]",,,
"""Donut""","[""human-resources""]",,,
"""Grain""","[""team-collaborations""]","""Profile & Contact Information""","""Settings""",
"""Whova EMS""","[""team-collaborations""]",,,
"""AI GIJIROKU""","[""transcription-translation""]","""Profile & Contact Information""","""Settings""",
"""Schoox Academy Integration Zoom Meeting""","[""education"",""productivity""]",,,
"""Drift""","[""scheduling-calendar""]",,,
"""Continu""","[""learning-development""]",,,
"""FACTS SIS""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""Eloqua""","[""marketing""]",,,
"""Boomerang for Gmail""","[""scheduling-calendar""]",,,
"""myViewBoard""","[""productivity""]",,,
"""NoPaperForms""","[""crm"",""education""]","""Profile & Contact Information""","""Settings""",
"""i-web""","[""human-resources"",""productivity"",""scheduling-calendar""]",,,
"""Coursera""","[""education"",""learning-development""]",,,
"""Disco""","[""eventmanagement""]",,,
"""Pillar""","[""human-resources""]","""Profile & Contact Information""","""Settings""",
"""Donations by Pledge""","[""eCommerce"",""eCommerce"",""eCommerce""]",,,
"""Coda App""","[""team-collaborations""]",,,
"""LearnQ.ai""","[""education"",""learning-development""]",,,
"""Aircover""","[""sales-automation""]",,,
"""Live by IPSTUDIO""","[""eventmanagement""]",,,
"""Nimbo Telehealth""","[""health-care"",""health-wellness""]",,,
"""Scheduler""","[""scheduling-calendar""]",,,
"""Jira Plugin for Zoom Meetings and Recordings""","[""recording-transcriptions""]",,,
"""CozyCal Scheduling""","[""scheduling-calendar""]",,,
"""SS&C Intralinks""","[""team-collaborations""]",,,
"""SUMO Scheduler""","[""scheduling-calendar""]",,,
"""Wrapsody eCo Connector""","[""team-collaborations""]",,,
"""MinhaSala""","[""learning-development""]",,,
"""Qlick for Zoom""","[""scheduling-calendar""]",,,
"""Mobile Text Alerts - SMS Reminders""","[""health-care"",""scheduling-calendar""]",,,
"""EngageCE Conversation Engine""","[""crm""]",,,
"""VIVIT LINK""","[""scheduling-calendar""]",,,
"""Spontivly""","[""analytics""]",,,
"""Dewo""","[""scheduling-calendar""]",,,
"""Workona Quick Create""","[""productivity""]",,,
"""Cassyni""","[""eventmanagement""]",,,
"""Tetra Insights""","[""recording-transcriptions""]",,,
"""Meeting Minutes""","[""productivity"",""recording-transcriptions"",""transcription-translation""]",,,
"""JD Create Meetings""","[""scheduling-calendar""]","""Profile & Contact Information""","""Settings""",
"""SanaFitness""","[""health-care"",""scheduling-calendar""]",,,
"""OptimizePress""","[""marketing""]",,,
"""Autodesk Construction Cloud""","[""team-collaborations""]",,,
"""IntervalCam""","[""social-activities""]",,,
"""Cabinet - Software for Assistants""","[""productivity""]",,,
"""Magic Moment Playbook""","[""sales-automation""]",,,
"""Thalamus""","[""health-care"",""health-wellness""]",,,
"""IlmSquare-OAUth""","[""education"",""learning-development""]",,,
"""MySCP""","[""sales-automation""]",,,
"""Arc Studio""","[""team-collaborations""]",,,
"""BlueCamroo""","[""crm""]",,,
"""CurAlly Ph""","[""health-care"",""health-wellness""]",,,
"""Demiks Admin""","[""crm"",""education""]",,,
"""Alexa for Zoom Rooms""","[""productivity""]","""Settings""",,
"""MootUp Meetings in VR for Zoom""","[""team-collaborations""]",,,
"""HuddleUp Scheduling""","[""team-collaborations""]",,,
"""Professional E-Mail Suite""","[""team-collaborations""]",,,
"""Zoom for InflowKit Shopify app""","[""education"",""learning-development""]",,,
"""Asite""","[""team-collaborations""]",,,
"""Practera""","[""education"",""learning-development""]","""Profile & Contact Information""","""Settings""",
"""SkillMil""","[""customer-service"",""education""]",,,
"""AugmentED""","[""education"",""learning-development""]",,,
"""Degree Analytics""","[""analytics"",""education""]",,,
"""Fanconvo""","[""scheduling-calendar""]",,,
"""Beecome""","[""education"",""learning-development""]",,,
"""Hacosco Tour""","[""eventmanagement""]",,,
"""Optimiser.io""","[""productivity""]",,,
"""Starchive""","[""recording-transcriptions""]",,,
"""Spacecubed""","[""scheduling-calendar""]",,,
"""StyleForSubstance-MeetingOrganizer""","[""scheduling-calendar""]",,,
"""SoloClic.com""","[""crm""]",,,
"""Sniperhire""","[""productivity""]",,,
"""Tegoora Supplier""","[""social-activities""]",,,
